index	Start	cM/Mb	cM	Mb	relative length	recombination
0	1	0.0	0.0	1.352503	0.08048749905453435	0.0
1	1352504	11.418320567214328	0.401	0.035119	0.002089932872086932	3.2513228073733107e-06
2	1387623	84.4869706840391	0.415	0.004912	0.0002923132853353173	0.00017200116181604052
3	1392535	17.491937788300607	0.857	0.048994	0.002915634589112081	3.570220391946077e-06
4	1441529	67.51563559641322	0.8959999999999999	0.013271000000000002	0.0007897576566948284	5.087456529004085e-05
5	1454800	4.290304199805595	0.8959999999999999	0.208843	0.012428253959544722	2.054320326659546e-07
6	1663643	31.94477887470905	1.194	0.037377	0.002224306528090016	8.546640681357263e-06
7	1701020	2.9397716137228733	1.194	0.406154	0.02417023821092844	7.238071307245215e-08
8	2107174	153.6008230452675	1.493	0.00972	0.0005784375271700497	0.00015802553811241512
9	2116894	320.24882024882027	1.493	0.004662	0.00027743577692044977	0.0006869344063681259
10	2121556	97.09422096931586	1.791	0.018446	0.0010977220808825864	5.263700583829332e-05
11	2140002	32.391080245239	1.791	0.055293	0.0032904882911330823	5.8580797289420015e-06
12	2195295	18.75545626073652	1.9980000000000002	0.106529	0.006339544375709695	1.760596294036039e-06
13	2301824	45.82634005396333	2.157	0.047069	0.0028010777743176004	9.735991853228946e-06
14	2348893	14.715850968115655	2.388	0.162274	0.009656931202056858	9.068520507361411e-07
15	2511167	17.20064538434943	2.388	0.13883199999999998	0.008261896993011558	1.238953943208297e-06
16	2649999	46.894528066076184	2.589	0.055209	0.0032854894483056872	8.494000627809992e-06
17	2705208	117.78819119025304	3.142	0.026675	0.0015874301478663662	4.415677270487462e-05
18	2731883	68.72111953429477	4.178999999999999	0.060811	0.0036188646568660393	1.1300771165462625e-05
19	2792694	22711.956521739125	4.178999999999999	0.000184	1.0949846193342506e-05	1.2343454631379962
20	2792878	31.93004272047173	4.776	0.149577	0.008901332304682565	2.1346893386330607e-06
21	2942455	35.00157565719562	4.776	0.136451	0.008120203602868359	2.5651388159262755e-06
22	3078906	291.95306944773637	4.927	0.016876	0.0010042913280372179	0.00017299897454831498
23	3095782	309.42573297795013	5.1080000000000005	0.016508000000000002	0.0009823916356505333	0.0001874398673236916
24	3112290	41.305350553505534	5.3729999999999976	0.13008	0.007741065178423875	3.1753805776065136e-06
25	3242370	47.256352298613	5.3729999999999976	0.113699	0.006766231317048095	4.156268067319238e-06
26	3356069	11119.834710743802	5.3820000000000014	0.000484	2.8802856291183552e-05	0.2297486510484257
27	3356553	395.5540809555408	5.961	0.015069999999999997	0.0008968162072482148	0.0002624778241244465
28	3371623	12085.020242914981	5.97	0.0004940000000000001	2.9397956627778254e-05	0.24463603730597125
29	3372117	41.34692633736876	5.97	0.14438800000000002	0.008592534740023576	2.8635985218556075e-06
30	3516505	81.71669324700675	6.8660000000000005	0.084022	0.005000152048136	9.725630578539757e-06
31	3600527	13926.977687626775	6.8660000000000005	0.000493	2.9338446594118775e-05	0.2824944764224498
32	3601020	294.5602565683977	7.164	0.024321	0.0014473435286319735	0.00012111354655170331
33	3625341	66.89762720727619	7.164	0.107089	0.006372869994558997	6.2469186571240925e-06
34	3732430	185.7021996615905	7.462999999999999	0.040188	0.002391589232706786	4.620837057370123e-05
35	3772618	254.7707643464309	7.462999999999999	0.029293	0.0017432274159868589	8.697325789315908e-05
36	3801911	62.77600803782138	8.06	0.128393	0.0076406717516403514	4.8893637533059714e-06
37	3930304	141.5599697911727	8.06	0.056937	0.0033883227864692517	2.486256209339669e-05
38	3987241	1878.9571694599629	8.072000000000001	0.004296	0.00025565510460108374	0.004373736427979429
39	3991537	52318.75	8.371	0.00016	9.521605385515224e-06	3.269921875
40	3991697	43.62164373952691	8.955	0.205288	0.012216695789885308	2.1248998353302142e-06
41	4196985	209.7484424040849	8.955	0.042694	0.0025407213770574184	4.912831835950833e-05
42	4239679	691.3542463657228	9.036	0.013069999999999998	0.0007777961399292747	0.0005289626980609969
43	4252749	373.5684206383565	9.492	0.025409	0.0015120904452534767	0.00014702208691343873
44	4278158	984.0321417533736	9.552	0.009707	0.0005776638967324766	0.0010137345644930192
45	4287865	65.2075966303947	9.552	0.14648599999999998	0.008717386790641142	4.451455881817697e-06
46	4434351	78.402138310364	10.149	0.129448	0.007703454837151093	6.056651188922501e-06
47	4563799	45.22545887197039	10.149	0.22440900000000005	0.013354587143488037	2.015313952291146e-06
48	4788208	22307.69230769231	10.15	0.000455	2.7077065315058915e-05	0.4902789518174134
49	4788663	311.15587416316134	10.504000000000001	0.033758	0.0020089397162763927	9.217248479268956e-05
50	4822421	72.72801104523673	10.745999999999999	0.147756	0.00879296453338867	4.9221697288256805e-06
51	4970177	67.54327521401903	10.745999999999999	0.159098	0.00946792733515438	4.2453880761555165e-06
52	5129275	369.7863335381255	10.834000000000001	0.029298	0.0017435249661551565	0.00012621555517036164
53	5158573	169.65087729804182	11.332	0.06679600000000001	0.003975032208317969	2.539835877867564e-05
