window_id	hetA	hetB	hetAB	fixed	multiallelic	missing	pi_A	pi_B	d_xy	f_st
chr1_76800_108800	0.0143678125	0.0150609375	0.002971875	0.0100759375	0.0	0.0	0.01733969	0.01803281	0.02627625	0.1953938
chr1_83200_115200	0.0141171875	0.01477	0.002775625	0.010498125	0.0	0.0	0.01689281	0.01754562	0.02632953	0.20919811
chr1_89600_121600	0.0143303125	0.0149215625	0.002914375	0.0102440625	0.0	0.0	0.01724469	0.01783594	0.02632719	0.20030487
chr1_96000_128000	0.014485	0.0159078125	0.0032290625	0.010233125	0.0	0.0	0.01771406	0.01913688	0.02704406	0.18954649
chr1_102400_134400	0.014255625	0.0161540625	0.003391875	0.0091053125	0.0	0.0	0.0176475	0.01954594	0.02600609	0.16611891
chr1_108800_140800	0.0145515625	0.01627375	0.0038846875	0.00795875	0.0	0.0	0.01843625	0.02015844	0.02531375	0.13486342
chr1_38400_70400	0.0128475	0.0146671875	0.0030646875	0.0082590625	0.0	0.0	0.01591219	0.01773188	0.02354875	0.16662334
chr1_44800_76800	0.0130346875	0.014685625	0.0032090625	0.008268125	0.0	0.0	0.01624375	0.01789469	0.02373281	0.16331516
chr1_51200_83200	0.0130815625	0.014980625	0.0031578125	0.008071875	0.0	0.0	0.01623938	0.01813844	0.02368187	0.15886558
chr1_57600_89600	0.0135203125	0.0152246875	0.003203125	0.008611875	0.0	0.0	0.01672344	0.01842781	0.02458594	0.16627265
chr1_64000_96000	0.0139934375	0.0149475	0.0032278125	0.0087915625	0.0	0.0	0.01722125	0.01817531	0.02487594	0.1685917
chr1_70400_102400	0.01423875	0.014703125	0.0032375	0.0093775	0.0	0.0	0.01747625	0.01794062	0.02546719	0.1797022
chr1_1113600_1145600	0.015513125	0.0147003125	0.0029725	0.009766875	0.0	0.0	0.01848562	0.01767281	0.02635984	0.18633666
chr1_1120000_1152000	0.0150003125	0.0153653125	0.003198125	0.0092359375	0.0	0.0	0.01819844	0.01856344	0.02601781	0.17200642
chr1_1126400_1158400	0.0153640625	0.0151871875	0.003195	0.0098278125	0.0	0.0	0.01855906	0.01838219	0.02670094	0.18220124
chr1_1132800_1164800	0.015145	0.0151184375	0.00316625	0.00972875	0.0	0.0	0.01831125	0.01828469	0.02644359	0.18205936
chr1_1139200_1171200	0.0151646875	0.0146653125	0.003111875	0.0100003125	0.0	0.0	0.01827656	0.01777719	0.02647125	0.18976923
chr1_1145600_1177600	0.0146365625	0.0147134375	0.003078125	0.01003625	0.0	0.0	0.01771469	0.01779156	0.02625031	0.19310277
chr1_0_32000	0.01380875	0.0155709375	0.0033059375	0.009204375	0.0	0.0	0.01711469	0.01887688	0.02554719	0.17342419
chr1_6400_38400	0.014559375	0.016075625	0.003643125	0.00858875	0.0	0.0	0.0182025	0.01971875	0.02572781	0.15143034
chr1_12800_44800	0.0145603125	0.01544	0.0035265625	0.0087278125	0.0	0.0	0.01808688	0.01896656	0.02549125	0.15822015
chr1_19200_51200	0.0143365625	0.0151834375	0.0035934375	0.0084675	0.0	0.0	0.01793	0.01877688	0.02502422	0.15378377
chr1_25600_57600	0.0134765625	0.01428125	0.003294375	0.0076396875	0.0	0.0	0.01677094	0.01757563	0.02316578	0.14855315
chr1_32000_64000	0.013201875	0.0148403125	0.0032671875	0.00793875	0.0	0.0	0.01646906	0.0181075	0.02359344	0.15422932
chr1_1152000_1184000	0.015219375	0.0138896875	0.00295	0.0101075	0.0	0.0	0.01816938	0.01683969	0.02613703	0.19780443
chr1_1158400_1190400	0.01493	0.014370625	0.002899375	0.009846875	0.0	0.0	0.01782938	0.01727	0.02594688	0.19305407
chr1_1164800_1196800	0.0151715625	0.0152484375	0.003081875	0.0099275	0.0	0.0	0.01825344	0.01833031	0.02667844	0.18649113
chr1_1171200_1203200	0.0152028125	0.0154365625	0.00295125	0.0099709375	0.0	0.0	0.01815406	0.01838781	0.02676625	0.18862891
chr1_1177600_1209600	0.0150934375	0.0156009375	0.0028959375	0.00959875	0.0	0.0	0.01798937	0.01849687	0.02639391	0.18260153
chr1_1184000_1216000	0.01498375	0.0161596875	0.003036875	0.0092784375	0.0	0.0	0.01802063	0.01919656	0.02636859	0.17253181
chr1_1190400_1222400	0.01480875	0.0156771875	0.00294125	0.009080625	0.0	0.0	0.01775	0.01861844	0.02579422	0.17303933
chr1_1196800_1228800	0.0146690625	0.014839375	0.0030275	0.0092046875	0.0	0.0	0.01769656	0.01786688	0.02547266	0.1778072
chr1_1203200_1235200	0.014245625	0.014430625	0.0030290625	0.0086203125	0.0	0.0	0.01727469	0.01745969	0.02447297	0.16983157
chr1_1209600_1241600	0.014235	0.01421125	0.003203125	0.0083740625	0.0	0.0	0.01743812	0.01741437	0.02419875	0.16270284
chr1_1216000_1248000	0.013869375	0.0141246875	0.003090625	0.008528125	0.0	0.0	0.01696	0.01721531	0.02407047	0.16965824
chr1_1222400_1254400	0.0139728125	0.014824375	0.00323625	0.0084009375	0.0	0.0	0.01720906	0.01806063	0.02441766	0.16129396
chr1_1228800_1260800	0.01434125	0.014974375	0.0031496875	0.008500625	0.0	0.0	0.01749094	0.01812406	0.02473328	0.16280331
chr1_1235200_1267200	0.0149384375	0.015005	0.0031484375	0.0088703125	0.0	0.0	0.01808688	0.01815344	0.02541625	0.16758594
chr1_1241600_1273600	0.015485	0.0152284375	0.0031471875	0.0096475	0.0	0.0	0.01863219	0.01837562	0.02657781	0.17909489
chr1_1248000_1280000	0.01543875	0.015328125	0.00308375	0.0092384375	0.0	0.0	0.0185225	0.01841188	0.02616375	0.17244898
chr1_1254400_1286400	0.015314375	0.0149278125	0.00304875	0.0095771875	0.0	0.0	0.01836313	0.01797656	0.02622266	0.18140033
chr1_1260800_1292800	0.0151125	0.0152803125	0.0030884375	0.009010625	0.0	0.0	0.01820094	0.01836875	0.02575125	0.16955193
chr1_115200_147200	0.014853125	0.01635375	0.004201875	0.007411875	0.0	0.0	0.019055	0.02055563	0.02511625	0.11822685
chr1_121600_153600	0.0147334375	0.01642375	0.0039884375	0.007635	0.0	0.0	0.01872187	0.02041219	0.02520781	0.12598102
chr1_128000_160000	0.014873125	0.015850625	0.003739375	0.0077403125	0.0	0.0	0.0186125	0.01959	0.02497188	0.13320202
chr1_134400_166400	0.014979375	0.0160890625	0.00361	0.0083028125	0.0	0.0	0.01858937	0.01969906	0.02564203	0.14508506
chr1_140800_172800	0.014933125	0.0158884375	0.0033228125	0.00899875	0.0	0.0	0.01825594	0.01921125	0.02607094	0.16376344
chr1_147200_179200	0.0147509375	0.0156084375	0.0030759375	0.0093390625	0.0	0.0	0.01782687	0.01868437	0.02605672	0.17604803
chr1_153600_185600	0.014695	0.0150809375	0.0028378125	0.010004375	0.0	0.0	0.01753281	0.01791875	0.02631125	0.19496024
chr1_160000_192000	0.014124375	0.014764375	0.0026234375	0.0099775	0.0	0.0	0.01674781	0.01738781	0.02573359	0.20246487
chr1_166400_198400	0.0146990625	0.01437	0.0026265625	0.0103903125	0.0	0.0	0.01732563	0.01699656	0.02623813	0.20915201
chr1_172800_204800	0.01453625	0.013976875	0.0025515625	0.010210625	0.0	0.0	0.01708781	0.01652844	0.02574297	0.2099792
chr1_179200_211200	0.0143675	0.0145315625	0.002793125	0.010195	0.0	0.0	0.01716062	0.01732469	0.02604109	0.20327342
chr1_185600_217600	0.0143734375	0.0145071875	0.002983125	0.0093553125	0.0	0.0	0.01735656	0.01749031	0.02528719	0.18411707
chr1_192000_224000	0.0146371875	0.0146965625	0.0031175	0.009356875	0.0	0.0	0.01775469	0.01781406	0.0255825	0.17981755
chr1_198400_230400	0.0141315625	0.01497375	0.0030871875	0.00886375	0.0	0.0	0.01721875	0.01806094	0.02496	0.17183525
chr1_204800_236800	0.013929375	0.0154475	0.0031090625	0.0086115625	0.0	0.0	0.01703844	0.01855656	0.02485453	0.1654559
chr1_211200_243200	0.014225	0.01512875	0.00288625	0.008483125	0.0	0.0	0.01711125	0.018015	0.02460312	0.16695807
chr1_217600_249600	0.0142615625	0.01527375	0.003026875	0.00867125	0.0	0.0	0.01728844	0.01830063	0.02495234	0.16744628
chr1_224000_256000	0.0138434375	0.014915	0.002979375	0.00848	0.0	0.0	0.01682281	0.01789438	0.02434891	0.16760329
chr1_230400_262400	0.0139940625	0.0150125	0.0029321875	0.0090728125	0.0	0.0	0.01692625	0.01794469	0.02504219	0.17907578
chr1_236800_268800	0.0140140625	0.0149171875	0.0029546875	0.0092746875	0.0	0.0	0.01696875	0.01787187	0.02521766	0.18287339
chr1_243200_275200	0.0140059375	0.0148134375	0.00284625	0.0095359375	0.0	0.0	0.01685219	0.01765969	0.02536875	0.19033124
chr1_249600_281600	0.0144709375	0.0150834375	0.0026690625	0.0106128125	0.0	0.0	0.01714	0.0177525	0.02672453	0.2100547
chr1_256000_288000	0.0147390625	0.01531375	0.002725	0.010778125	0.0	0.0	0.01746406	0.01803875	0.02716703	0.20961605
chr1_262400_294400	0.015236875	0.0148884375	0.002758125	0.0104340625	0.0	0.0	0.017995	0.01764656	0.02687578	0.2025883
chr1_1267200_1299200	0.0146746875	0.0156340625	0.00314	0.00914375	0.0	0.0	0.01781469	0.01877406	0.02586812	0.17149722
chr1_1273600_1305600	0.0141196875	0.0158065625	0.003070625	0.0087665625	0.0	0.0	0.01719031	0.01887719	0.025265	0.16700829
chr1_1280000_1312000	0.014510625	0.015728125	0.0031709375	0.00901	0.0	0.0	0.01768156	0.01889906	0.02571484	0.16871957
chr1_1286400_1318400	0.014806875	0.01562375	0.0031290625	0.0089775	0.0	0.0	0.01793594	0.01875281	0.02575734	0.16808791
chr1_1292800_1324800	0.0147078125	0.0149765625	0.0029734375	0.0092021875	0.0	0.0	0.01768125	0.01795	0.02553109	0.17799423
chr1_1299200_1331200	0.0150815625	0.0149925	0.0030815625	0.0089159375	0.0	0.0	0.01816312	0.01807406	0.02549375	0.16910718
chr1_268800_300800	0.0154246875	0.01443125	0.0026853125	0.01074125	0.0	0.0	0.01811	0.01711656	0.02701188	0.21061213
chr1_275200_307200	0.0156221875	0.014639375	0.002975	0.010620625	0.0	0.0	0.01859719	0.01761438	0.02723891	0.20141551
chr1_281600_313600	0.01522875	0.0141471875	0.0029671875	0.010224375	0.0	0.0	0.01819594	0.01711438	0.02639594	0.19842365
chr1_288000_320000	0.01558125	0.014096875	0.002916875	0.010773125	0.0	0.0	0.01849813	0.01701375	0.02707063	0.20779395
chr1_294400_326400	0.0152984375	0.013764375	0.0028059375	0.0113390625	0.0	0.0	0.01810437	0.01657031	0.02727344	0.22272868
chr1_300800_332800	0.0152740625	0.01410125	0.00275125	0.011578125	0.0	0.0	0.01802531	0.0168525	0.02764141	0.22631841
chr1_1305600_1337600	0.015411875	0.0146959375	0.002985625	0.0092146875	0.0	0.0	0.0183975	0.01768156	0.02576141	0.17629485
chr1_1312000_1344000	0.0148240625	0.0149215625	0.003074375	0.008725	0.0	0.0	0.01789844	0.01799594	0.025135	0.16683948
chr1_1318400_1350400	0.0147634375	0.01521	0.003126875	0.008656875	0.0	0.0	0.01789031	0.01833687	0.02520703	0.16374281
chr1_1324800_1356800	0.0147284375	0.0156065625	0.003310625	0.0086115625	0.0	0.0	0.01803906	0.01891719	0.02543437	0.15841152
chr1_1331200_1363200	0.014376875	0.0154309375	0.0032128125	0.0087853125	0.0	0.0	0.01758969	0.01864375	0.02529563	0.16536562
chr1_1337600_1369600	0.0142684375	0.0154834375	0.0032878125	0.008194375	0.0	0.0	0.01755625	0.01877125	0.02471422	0.15277006
chr1_460800_492800	0.015556875	0.0132903125	0.002751875	0.0100415625	0.0	0.0	0.01830875	0.01604219	0.02584109	0.20144847
chr1_467200_499200	0.0150909375	0.013490625	0.0028378125	0.0098934375	0.0	0.0	0.01792875	0.01632844	0.02560312	0.19831933
chr1_473600_505600	0.01501375	0.0143084375	0.0031340625	0.00969	0.0	0.0	0.01814781	0.0174425	0.02591813	0.18582394
chr1_480000_512000	0.01487875	0.014055	0.003070625	0.00968	0.0	0.0	0.01794938	0.01712562	0.02568219	0.1884486
chr1_486400_518400	0.0146921875	0.014179375	0.0029246875	0.0097290625	0.0	0.0	0.01761688	0.01710406	0.02562719	0.19230449
chr1_492800_524800	0.0146603125	0.0147640625	0.003148125	0.0093621875	0.0	0.0	0.01780844	0.01791219	0.02564844	0.17900133
