chrom	start	end	hmel	hcyd	f1	mean
1	66980	122860	1.6355	3.3415	1.5672	2.1814
1	122860	168185	1.6336	3.3067	1.7697	2.2367
1	168185	208610	1.6328	3.2851	1.9392	2.2857
1	208611	243766	1.6326	3.2541	2.087	2.3246
1	243766	279430	1.6329	3.2302	2.2243	2.3624
1	279430	319938	1.6337	3.197	2.3704	2.4004
1	319938	365850	1.6353	3.1496	2.535	2.44
1	365850	524627	1.6422	2.9901	3.0171	2.5498
1	524627	584178	1.6472	2.8227	3.3496	2.6065
1	584178	624720	1.6421	2.8081	3.3947	2.615
1	624721	669623	1.6404	2.7722	3.5975	2.67
1	669623	712514	1.6411	2.7132	4.0719	2.8087
1	712514	768358	1.6429	2.6189	3.9896	2.7505
1	768358	880296	1.6355	2.3888	4.2366	2.7536
1	880488	928286	1.6242	2.0166	3.4922	2.3777
1	928286	1013620	1.6112	1.6278	2.6676	1.9689
1	1013620	1133687	1.5853	1.2469	2.021	1.6177
1	1133687	1202882	1.5558	1.1145	2.0167	1.5623
1	1202882	1294316	1.5257	1.1919	2.0628	1.5935
1	1294316	1436688	1.4741	1.6026	2.6651	1.9139
1	1436688	1502985	1.4211	2.0972	4.1792	2.5658
1	1502985	1581155	1.3799	2.1265	4.2678	2.5914
1	1581155	1616705	1.3451	2.0978	3.5252	2.3227
1	1616705	1654402	1.3202	2.0563	3.3523	2.243
1	1654402	1723945	1.0106	2.0737	3.3175	2.134
1	1723945	1818163	1.0676	2.0928	3.1343	2.0983
1	1818163	1915525	1.4298	1.9128	2.7772	2.0399
1	1915973	1983922	1.4207	1.7889	2.8508	2.0201
1	1984103	2046073	1.4738	1.7503	3.1819	2.1353
1	2046137	2160085	1.6327	1.7825	3.9968	2.4707
1	2160085	2246953	1.9209	1.9231	4.5302	2.7914
1	2246953	2298404	2.19	2.0886	4.9554	3.078
1	2298404	2439814	2.3688	2.4253	5.6128	3.469
1	2439814	2521112	2.6138	2.9341	6.1065	3.8848
1	2521176	2648632	3.0733	2.5401	6.2515	3.955
1	2648632	2742703	3.5133	4.0189	6.1134	4.5485
1	2742768	2804057	3.8494	4.87	5.8253	4.8482
1	2804121	2857968	3.9762	5.3447	5.5092	4.9434
1	2858032	2962425	4.915	5.7718	5.1616	5.2828
1	2962425	3019028	5.6297	5.9819	4.9699	5.5272
1	3019028	3081541	6.5021	6.5173	4.9376	5.9857
1	3081605	3162032	8.1511	7.6665	5.0164	6.9447
1	3162096	3218834	9.3468	7.6962	5.0984	7.3805
1	3218834	3308569	9.5587	8.0703	4.8136	7.4808
1	3308569	3459357	8.7806	7.2353	5.3475	7.1211
1	3459357	3512837	5.8086	6.2796	5.433	5.8404
1	3512837	3605868	4.1865	6.0445	5.5476	5.2595
1	3605997	3660415	3.2892	6.1178	5.7044	5.0371
1	3660415	3733794	3.1789	6.588	5.8794	5.2154
1	3733794	3836967	1.7565	7.0675	6.4088	5.0776
1	3837031	3972322	2.061	6.8082	6.369	5.0794
1	3972322	4088101	2.2711	5.1198	6.8322	4.7411
1	4088101	4169396	4.4685	4.081	6.2392	4.9296
1	4169451	4273497	6.0042	4.2184	5.9001	5.3742
1	4273497	4360542	8.4491	3.8874	5.62	5.9855
1	4360542	4414219	8.3415	3.7158	5.2532	5.7702
1	4414523	4487665	9.8746	3.8189	4.7938	6.1624
1	4487665	4550956	10.1582	3.8283	4.1807	6.0557
1	4550956	4614293	8.4234	3.4861	3.2176	5.0423
1	4614293	4654576	7.9906	2.9389	2.1451	4.3582
1	4654576	4701262	6.3485	2.4428	1.6691	3.4868
1	4701262	4757469	4.7297	2.016	1.6156	2.7871
1	4757632	4804511	3.7728	1.756	2.0988	2.5425
1	4804511	4914371	3.1163	1.7257	2.4918	2.4446
1	4914371	5004881	3.3661	2.1892	1.7931	2.4495
1	5004882	5055299	3.028	2.1073	1.7375	2.2909
1	5055299	5162886	2.6848	2.2249	2.225	2.3782
1	5162886	5253247	3.2626	2.5809	3.503	3.1155
1	5253247	5318011	3.131	2.6497	4.5963	3.459
1	5318011	5363372	3.0827	3.0981	5.1148	3.7652
1	5363500	5478394	3.6101	4.2849	5.459	4.4513
1	5478394	5537248	3.9843	5.3405	5.3978	4.9075
1	5537248	5619183	3.9444	5.7162	5.4113	5.0239
1	5619183	5703865	4.7355	6.5784	6.0598	5.7913
1	5703866	5846700	6.3283	6.3231	5.7727	6.1414
1	5846700	5916019	6.9606	6.2084	5.5685	6.2458
1	5916019	5970739	6.9751	6.3885	5.5557	6.3064
1	5970739	6032832	7.4553	5.7085	5.3394	6.1677
1	6032832	6105577	7.5032	6.9311	4.8496	6.428
1	6105577	6154911	7.8647	7.4085	4.195	6.4894
1	6154911	6248201	7.9225	6.6379	3.389	5.9831
1	6248201	6311568	7.6031	7.14	2.0601	5.6011
1	6311632	6388665	7.3821	5.354	1.2026	4.6462
1	6388729	6433574	7.3189	3.3046	0.785	3.8028
1	6433574	6482305	7.0048	2.2979	0.6955	3.3327
1	6482305	6613084	6.3438	1.23	1.1056	2.8931
1	6613084	6697254	6.0007	1.1659	2.4153	3.194
1	6697254	6768937	5.9475	2.0756	4.0032	4.0087
1	6768937	6828177	5.3331	2.2403	5.3758	4.3164
1	6828177	6913715	5.6287	2.2297	6.1926	4.6837
1	6913715	6998871	6.4658	4.0727	6.4587	5.6657
1	6998871	7057443	6.5928	6.3877	7.8311	6.9372
1	7057443	7116262	6.6674	6.6712	6.7553	6.698
1	7116262	7171035	7.2763	6.3191	6.599	6.7315
1	7171035	7230005	6.6304	6.4418	6.0281	6.3668
1	7230005	7283120	6.7217	5.5859	5.6679	5.9919
1	7283120	7328937	6.6324	5.3564	5.22	5.7363
1	7329001	7373994	5.6803	5.3531	5.0291	5.3542
1	7373994	7422293	4.8589	4.0236	4.8223	4.5682
1	7422293	7509332	4.405	2.9398	4.4908	3.9452
1	7509460	7580968	4.7169	2.1088	4.0595	3.6284
1	7580968	7624407	4.8278	1.8098	3.7174	3.4516
1	7624407	7761921	5.0654	1.9336	3.12	3.373
1	7761921	7839040	4.9051	2.8015	2.4157	3.3741
1	7839040	7911008	4.7042	3.9606	2.0475	3.5708
1	7911008	7967031	4.3079	5.5627	1.7959	3.8889
1	7967031	8055294	3.5178	6.8756	1.5889	3.9941
1	8055294	8185867	2.539	6.2847	1.4228	3.4155
1	8185867	8236497	1.9123	6.29	1.4052	3.2025
1	8236497	8279087	1.6684	5.1144	1.3982	2.727
1	8279087	8374835	1.4049	4.6141	1.1155	2.3782
1	8374835	8453348	1.2152	4.1479	0.7911	2.0514
1	8453348	8603957	1.2459	3.3392	0.4714	1.6855
1	8603957	8707401	1.5979	2.2858	0.2383	1.374
1	8707401	8764565	1.8011	1.8178	0.1626	1.2605
1	8764565	8882348	1.7383	1.5456	0.15	1.1447
1	8882348	8998342	1.8539	1.5136	0.2309	1.1995
1	8998342	9059700	2.1938	1.7447	0.3673	1.4353
1	9059764	9113134	2.4259	1.9156	0.4938	1.6118
1	9113134	9280605	2.5455	1.6847	0.8263	1.6855
1	9280606	9406397	2.4631	1.4309	1.4025	1.7655
1	9406733	9518272	2.4646	1.299	1.7871	1.8503
1	9518295	9575699	2.4351	1.2438	1.9369	1.8719
1	9575699	9686904	2.4715	1.2251	1.9815	1.8927
1	9686904	9732375	2.3954	1.2335	1.927	1.852
1	9732375	9824518	2.3155	1.0146	1.7663	1.6988
1	9824518	9876310	2.2985	0.697	1.6521	1.5492
1	9876310	9973846	2.2519	0.4551	1.6109	1.4393
1	9973846	10041461	2.0775	0.2748	1.6419	1.3314
1	10041461	10139931	1.5641	0.2001	1.7667	1.177
1	10139931	10177549	1.4535	0.2064	1.9283	1.1961
1	10177613	10266561	1.7271	0.2817	2.1085	1.3724
1	10266561	10357355	2.5632	0.4836	2.0647	1.7038
1	10357355	10405551	3.0187	0.7169	2.2474	1.9944
1	10405551	10492818	3.3212	1.0189	2.7252	2.3551
1	10492818	10589666	3.7613	1.4853	3.2009	2.8158
1	10589666	10651777	4.2397	1.7358	3.7554	3.2436
1	10651842	10693802	5.3345	1.8593	4.0296	3.7411
1	10693802	10741589	5.785	1.9525	4.1763	3.9713
1	10741590	10781306	5.3495	2.0324	4.245	3.8756
1	10781306	10892477	4.3359	2.1413	4.1741	3.5504
1	10892477	10949251	4.2059	2.229	4.2072	3.5474
1	10949315	10989905	4.1907	2.2603	4.3199	3.5903
1	10989905	11036870	4.1699	2.2762	4.3612	3.6024
1	11036870	11081290	4.1718	2.2812	4.3704	3.6078
1	11081410	11144555	4.2211	2.5904	4.7609	3.8575
1	11144555	11218837	4.4326	3.0803	4.9598	4.1576
1	11218837	11398286	4.2141	3.1486	4.0806	3.8144
1	11398286	11474853	3.2614	2.7997	4.0263	3.3624
1	11474853	11552764	2.8795	2.9849	2.9892	2.9512
1	11552764	11629841	2.6432	3.1089	1.8064	2.5195
1	11629841	11753367	2.2815	3.1721	0.8271	2.0936
1	11753367	11811822	1.9792	3.1472	0.1751	1.7671
1	11811822	11849374	1.8374	3.0973	0	1.6449
1	11849565	11898888	1.7192	3.0298	0	1.583
1	11898888	11983231	1.5576	2.8864	0	1.4813
1	11983231	12087541	1.3672	2.6025	0	1.3232
1	12087542	12227237	1.1884	2.1532	0.1969	1.1795
1	12227237	12291231	1.092	2.1522	0.9083	1.3842
1	12291231	12353280	1.0606	2.0067	1.5164	1.5279
1	12353280	12392815	1.0494	1.909	2.0909	1.6831
1	12392815	12483822	1.0562	1.8126	3.3652	2.078
1	12483822	12571459	1.0983	1.726	3.9167	2.247
1	12571459	12655798	1.177	1.6953	3.7517	2.208
1	12655798	12699205	1.2586	1.7044	4.305	2.4227
1	12699205	12739431	1.3238	1.7267	4.3356	2.462
1	12739431	12785589	1.4007	1.7628	4.1025	2.422
1	12785717	12824961	1.4859	1.811	3.7974	2.3648
1	12824961	12862674	1.5705	1.8582	4.8839	2.7708
1	12862674	12907730	1.67	1.7869	4.1857	2.5475
1	12907730	13011599	1.8724	1.7552	3.7367	2.4548
1	13011599	13081765	2.0396	1.2809	3.1104	2.1436
1	13081765	13149050	2.0615	0.8883	2.3229	1.7576
1	13149050	13210411	2.06	0.7174	1.7713	1.5162
1	13210411	13334945	2.0032	0.8321	1.361	1.3988
1	13334945	13435231	1.9303	1.465	1.3936	1.5963
1	13435231	13513108	1.8796	2.381	1.8573	2.0393
1	13513108	13624888	1.8328	3.7785	1.5947	2.402
1	13624888	13673341	1.7984	5.4242	1.6976	2.9734
1	13673341	13732079	1.7784	6.5033	2.3866	3.5561
1	13732079	13829553	1.7535	7.03	2.9182	3.9006
1	13829553	13884857	1.7334	6.9337	3.258	3.9751
1	13884857	13927715	1.7201	7.5711	3.4639	4.2517
1	13927779	13970573	1.6794	7.1973	3.636	4.1709
1	13970573	14018962	1.7879	7.079	3.811	4.226
1	14018962	14125569	2.2769	5.9737	4.4459	4.2322
1	14125569	14243902	2.7784	4.9879	5.4411	4.4025
1	14244030	14336268	2.9222	4.2437	5.4633	4.2098
1	14336461	14408005	2.9338	3.7277	4.9109	3.8575
1	14408005	14463242	3.0688	3.4951	5.2826	3.9489
1	14463242	14522176	3.9216	3.5651	5.0855	4.1907
1	14522176	14568020	3.4011	3.5276	4.1984	3.7091
1	14568020	14647894	3.2043	3.5325	3.4919	3.4095
1	14647894	14708680	2.9759	3.5974	2.9437	3.1724
1	14708680	14836081	2.364	3.7902	2.6585	2.9376
1	14836081	14898302	1.9444	3.9768	2.6455	2.8556
1	14898302	14963543	2.5564	4.025	2.1907	2.924
1	14963543	15030012	4.0942	4.0103	2.7932	3.6326
1	15030012	15101980	4.9378	3.9235	3.1796	4.0136
1	15102206	15142831	3.4507	3.8014	3.4515	3.5679
1	15142939	15190607	3.3383	3.3641	3.6891	3.4638
1	15190607	15236345	3.2145	2.6277	4.1085	3.3169
1	15236345	15286293	3.111	2.3364	4.191	3.2128
1	15286293	15392859	3.0027	2.9604	4.5007	3.4879
1	15392859	15466213	2.888	3.6003	4.6031	3.6971
1	15466213	15624080	2.6993	4.2603	4.2386	3.7327
1	15624144	15678620	2.4192	5.3917	4.0289	3.9466
1	15678620	15728333	2.5695	6.0805	3.8826	4.1775
1	15728333	15778398	2.6843	5.3845	3.718	3.9289
1	15778541	15825637	2.6327	4.0603	3.5344	3.4091
1	15825895	15941519	2.4554	3.5487	3.1713	3.0585
1	15941519	16009524	2.2361	3.1088	2.5926	2.6458
1	16009524	16104292	2.1133	2.7547	2.4523	2.4401
1	16104292	16172800	1.9372	2.429	2.2964	2.2208
1	16172800	16290771	1.743	2.0977	2.408	2.0829
1	16290771	16437086	1.4862	1.6877	2.4368	1.8702
1	16437086	16556353	1.2243	1.2527	2.3538	1.6103
1	16556353	16614333	1.0473	0.9533	2.3195	1.44
1	16614333	16688597	0.914	0.7313	2.2978	1.3143
1	16688597	16776127	0.7495	0.4612	2.2465	1.1524
1	16776127	16854463	0.5794	0.186	2.199	0.9881
1	16854463	16897957	0.4534	0	2.1693	0.8743
1	16897957	16951151	0.3528	0	2.1489	0.8339
1	16951151	17021205	0.2238	0	2.1189	0.7809
1	17021205	17068718	0.1	0	2.0885	0.7295
1	17068718	17114890	0.0007	0	2.0635	0.6881
1	17114954	17161036	0	0	2.0384	0.6795
2	22248	83541	3.9847	2.8863	10.612	5.8277
2	83605	137908	4.4069	2.9761	10.3335	5.9055
2	137909	191853	4.7573	3.0169	10.0706	5.9483
2	191853	268365	5.122	3.0496	9.7571	5.9762
2	268432	347785	5.6095	3.1424	9.3782	6.0434
2	347785	426623	6.0671	3.3035	8.9959	6.1222
2	427231	503066	6.4014	3.5282	8.6223	6.184
2	503066	663559	7.1431	3.7371	8.0626	6.3142
2	663559	703506	8.1572	3.5918	7.5927	6.4472
2	703507	743802	8.3408	3.6468	7.4063	6.4646
2	743802	792512	8.17	3.8064	7.2006	6.3923
2	792512	845899	7.5	4.1145	6.9658	6.1934
2	845899	896720	6.9576	4.5659	6.6632	6.0622
2	896720	952230	6.8518	5.1725	6.323	6.1158
2	952294	1015543	6.666	6.4282	5.9974	6.3639
2	1015543	1082473	6.3818	7.0915	5.7064	6.3932
2	1082473	1151274	5.9953	7.1473	5.4763	6.2063
2	1151338	1230328	5.5146	8.0985	5.3116	6.3083
2	1230328	1302250	5.0931	7.8514	5.2596	6.0681
2	1302250	1401757	4.6654	9.2983	5.3142	6.426
2	1403564	1450096	4.3288	7.9275	4.7086	5.655
2	1450096	1531048	3.7657	7.2772	4.5446	5.1959
2	1531112	1625927	2.6223	6.1482	4.1104	4.2937
2	1626119	1699870	1.9943	3.6878	3.1747	2.9522
2	1699870	1770322	1.8668	3.1804	2.5668	2.538
2	1770322	1845492	2.1163	4.4467	2.3096	2.9575
2	1845492	1903829	2.6675	4.5215	2.3778	3.1889
2	1903829	2012339	3.8344	4.4689	2.907	3.7368
2	2012339	2172441	5.8879	5.4933	3.1464	4.8425
2	2172569	2261932	6.6813	5.9098	3.3263	5.3058
2	2262210	2349244	7.9301	6.4464	3.8667	6.0811
2	2349244	2422512	7.5039	6.2858	4.7352	6.175
2	2422512	2487791	8.5787	5.5374	5.6122	6.5761
2	2487791	2607064	7.7533	4.9877	5.9267	6.2226
2	2607064	2675428	7.6302	4.5192	5.3607	5.8367
