window_id,start,end,span,centre,pi_chi,pi_ros,dxy,fst,sample_cov
chr18_50401_144789,50401,144789,94388,97595.0,0.00551733,0.00865298,0.01761809,0.4263786,0.8568333333333333
chr18_74420_149908,74420,149908,75488,112164.0,0.00585204,0.00731165,0.01565281,0.40796518,0.82
chr18_100506_166078,100506,166078,65572,133292.0,0.00564833,0.00635948,0.01538617,0.43862703,0.7768333333333334
chr18_111289_174018,111289,174018,62729,142653.5,0.00572261,0.00596669,0.01782769,0.50620429,0.7656666666666666
chr18_114619_187708,114619,187708,73089,151163.5,0.00569709,0.00591932,0.02042728,0.55722526,0.7368333333333333
chr18_141559_226106,141559,226106,84547,183832.5,0.0062784,0.00575873,0.02141035,0.5611518,0.715
chr18_144789_241784,144789,241784,96995,193286.5,0.00794825,0.00698818,0.02106911,0.47660021,0.7106666666666667
chr18_149908_268215,149908,268215,118307,209061.5,0.00660955,0.00662753,0.02247164,0.54496397,0.7643333333333334
chr18_166241_277306,166241,277306,111065,221773.5,0.00661237,0.00595214,0.02417588,0.58748262,0.814
chr18_174018_283648,174018,283648,109630,228833.0,0.00995223,0.00796938,0.02316862,0.4422057,0.8146666666666667
chr18_187709_304586,187709,304586,116877,246147.5,0.01109669,0.00784496,0.0230199,0.41701362,0.827
chr18_226128_311262,226128,311262,85134,268695.0,0.01321482,0.00903159,0.02317334,0.35135128,0.8401666666666667
chr18_241784_326351,241784,326351,84567,284067.5,0.01269331,0.00739521,0.02304282,0.39285909,0.8213333333333334
chr18_268215_345989,268215,345989,77774,307102.0,0.01394919,0.00809167,0.02417169,0.373699,0.8218333333333334
chr18_277306_4708,277306,4708,-272598,141007.0,0.0154964,0.01030542,0.02304343,0.28217294,0.796
chr18_283648_8017,283648,8017,-275631,145832.5,0.01316266,0.00933726,0.02160663,0.3152083,0.8089999999999999
chr18_304586_11225,304586,11225,-293361,157905.5,0.01269253,0.01043388,0.01877443,0.23769898,0.8238333333333333
chr18_311262_14429,311262,14429,-296833,162845.5,0.01048982,0.01020146,0.01698792,0.24300823,0.8546666666666666
chr18_326351_18037,326351,18037,-308314,172194.0,0.01053496,0.01079275,0.01597423,0.19935273,0.8763333333333333
chr18_345989_22409,345989,22409,-323580,184199.0,0.00953632,0.01084901,0.01349841,0.13953546,0.8920000000000001
chr18_4708_33820,4708,33820,29112,19264.0,0.00744599,0.0101843,0.01304231,0.19339694,0.9196666666666666
chr18_8017_37218,8017,37218,29201,22617.5,0.00661773,0.01094988,0.01349494,0.21146321,0.8926666666666667
chr18_11225_41217,11225,41217,29992,26221.0,0.006634,0.0109872,0.0149683,0.25895647,0.8761666666666668
chr18_14429_44930,14429,44930,30501,29679.5,0.00661933,0.01089227,0.01617991,0.29773004,0.8478333333333333
chr18_18037_361626,18037,361626,343589,189831.5,0.00684041,0.00962899,0.01761137,0.362789,0.8248333333333333
chr18_22409_365232,22409,365232,342823,193820.5,0.00758212,0.00815828,0.02032605,0.44175555,0.8285
chr18_33820_369388,33820,369388,335568,201604.0,0.00859438,0.00657282,0.0226137,0.49772993,0.8256666666666667
chr18_37252_373573,37252,373573,336321,205412.5,0.00982624,0.00490541,0.02409456,0.53173968,0.8441666666666666
chr18_41217_377227,41217,377227,336010,209222.0,0.01054016,0.00378269,0.02476765,0.55141669,0.8601666666666667
chr18_44930_380958,44930,380958,336028,212944.0,0.01114687,0.002567,0.02573172,0.57918269,0.8913333333333333
chr18_361626_384957,361626,384957,23331,373291.5,0.01077339,0.00277384,0.02765359,0.60649637,0.9071666666666666
chr18_365232_390492,365232,390492,25260,377862.0,0.01079029,0.00295168,0.02786705,0.60441142,0.9079999999999999
chr18_369388_401363,369388,401363,31975,385375.5,0.01081791,0.00435544,0.02691549,0.56022035,0.9113333333333332
chr18_373573_404632,373573,404632,31059,389102.5,0.0106521,0.00573588,0.02607489,0.52178245,0.9181666666666666
chr18_377227_419320,377227,419320,42093,398273.5,0.01045015,0.00646745,0.02558306,0.50303538,0.9115
chr18_380958_424592,380958,424592,43634,402775.0,0.01077432,0.00786209,0.02442487,0.44769675,0.875
chr18_384957_439423,384957,439423,54466,412190.0,0.01032061,0.00793004,0.02184196,0.4106474,0.8464999999999999
chr18_390492_450034,390492,450034,59542,420263.0,0.01075387,0.00883229,0.02034219,0.35005859,0.8048333333333333
chr18_401363_479994,401363,479994,78631,440678.5,0.0107573,0.00798633,0.02206481,0.40376456,0.7783333333333333
chr18_404632_485257,404632,485257,80625,444944.5,0.00974668,0.00676986,0.02189003,0.45215684,0.731
chr18_419320_504986,419320,504986,85666,462153.0,0.00862647,0.00617932,0.02087113,0.47634658,0.7213333333333334
chr18_424592_510370,424592,510370,85778,467481.0,0.00748696,0.00478924,0.02083905,0.54494081,0.7541666666666667
chr18_439423_530554,439423,530554,91131,484988.5,0.00783866,0.0050831,0.0222489,0.54991783,0.7871666666666667
chr18_450034_534352,450034,534352,84318,492193.0,0.00711063,0.00469362,0.0244674,0.61131266,0.8119999999999999
chr18_480096_548282,480096,548282,68186,514189.0,0.00648703,0.00484264,0.02212274,0.59227568,0.8231666666666666
chr18_485257_551709,485257,551709,66452,518483.0,0.00647391,0.00504891,0.02257998,0.59342785,0.8391666666666666
chr18_504986_555318,504986,555318,50332,530152.0,0.00741791,0.00537771,0.02299928,0.56473175,0.8461666666666666
chr18_510400_561703,510400,561703,51303,536051.5,0.00800379,0.00598338,0.02310799,0.53533428,0.8371666666666667
chr18_530554_564947,530554,564947,34393,547750.5,0.00748503,0.00629572,0.02173091,0.51851393,0.8346666666666667
chr18_534352_569576,534352,569576,35224,551964.0,0.00732726,0.00665777,0.01913451,0.46472934,0.8455
chr18_548282_572795,548282,572795,24513,560538.5,0.00807718,0.00670641,0.01909532,0.4418573,0.8648333333333333
chr18_551709_576423,551709,576423,24714,564066.0,0.00883115,0.00645432,0.01945059,0.43582155,0.8853333333333334
chr18_555318_580277,555318,580277,24959,567797.5,0.0079932,0.00613067,0.02013677,0.48071535,0.8866666666666667
chr18_561703_587697,561703,587697,25994,574700.0,0.00709132,0.00552855,0.01951886,0.51140307,0.88
chr18_564971_591005,564971,591005,26034,577988.0,0.00628812,0.00517708,0.01886818,0.53394974,0.8808333333333334
chr18_569576_617484,569576,617484,47908,593530.0,0.00600141,0.00433118,0.0191224,0.57459262,0.8896666666666666
chr18_572795_621701,572795,621701,48906,597248.0,0.0072963,0.00413946,0.01972689,0.5505654,0.8906666666666666
chr18_576423_625488,576423,625488,49065,600955.5,0.00850285,0.0044139,0.0192542,0.49764852,0.8908333333333334
chr18_580277_628761,580277,628761,48484,604519.0,0.0106327,0.00509446,0.01975081,0.4304723,0.8979999999999999
chr18_587697_632002,587697,632002,44305,609849.5,0.01213863,0.00544156,0.02000706,0.38951643,0.9161666666666668
chr18_591231_635322,591231,635322,44091,613276.5,0.01401136,0.00541779,0.02291932,0.40463282,0.9153333333333334
chr18_617484_639183,617484,639183,21699,628333.5,0.01558641,0.00593777,0.0247666,0.39417468,0.9185
chr18_621709_642543,621709,642543,20834,632126.0,0.01541816,0.00532638,0.02431786,0.40200455,0.9141666666666667
chr18_625488_645932,625488,645932,20444,635710.0,0.01490804,0.00604307,0.02507922,0.4107371,0.9163333333333332
chr18_628761_649373,628761,649373,20612,639067.0,0.01447942,0.00530218,0.02526365,0.43729457,0.9081666666666667
chr18_632050_652578,632050,652578,20528,642314.0,0.01414264,0.00573471,0.02587235,0.4449377,0.9035000000000001
chr18_635322_656824,635322,656824,21502,646073.0,0.01373136,0.00638744,0.02322944,0.39562929,0.9143333333333333
chr18_639183_660705,639183,660705,21522,649944.0,0.01259513,0.00662868,0.02168353,0.38573118,0.8946666666666666
chr18_642543_663917,642543,663917,21374,653230.0,0.01109969,0.00769742,0.02178577,0.39722569,0.9003333333333334
chr18_645932_667546,645932,667546,21614,656739.0,0.01040288,0.00772369,0.02034914,0.38371046,0.8766666666666667
chr18_649373_670944,649373,670944,21571,660158.5,0.00968709,0.00807646,0.02084782,0.40249606,0.8788333333333332
chr18_652578_674164,652578,674164,21586,663371.0,0.009683,0.00843903,0.02005389,0.37756864,0.8823333333333333
chr18_656824_679038,656824,679038,22214,667931.0,0.0092167,0.00863242,0.020268,0.38857298,0.8831666666666667
chr18_660705_682465,660705,682465,21760,671585.0,0.00935014,0.0090759,0.02138345,0.39777236,0.8975
chr18_663917_687305,663917,687305,23388,675611.0,0.01009169,0.00884491,0.02040973,0.36620319,0.8766666666666667
chr18_667546_690693,667546,690693,23147,679119.5,0.01047241,0.00806712,0.01954513,0.35659908,0.8975
chr18_670944_694156,670944,694156,23212,682550.0,0.0107338,0.00788692,0.01698407,0.29183785,0.9066666666666666
chr18_674164_698581,674164,698581,24417,686372.5,0.01244892,0.00886876,0.01798856,0.25585987,0.8920000000000001
chr18_679038_702871,679038,702871,23833,690954.5,0.01504195,0.01066276,0.01865294,0.18411461,0.8913333333333333
chr18_682465_706093,682465,706093,23628,694279.0,0.01635725,0.01034722,0.01879905,0.16941205,0.9003333333333334
chr18_687305_709363,687305,709363,22058,698334.0,0.0167683,0.01033832,0.01846529,0.15341021,0.9148333333333333
