window_id	hetA	hetB	hetAB	fixed	multiallelic	missing	pi_A	pi_B	d_xy	f_st
chr1_0_32000	0.014975	0.015241875	0.0034678125	0.008765625	0.0	0.0	0.01844281	0.01870969	0.02560797	0.1591455
chr1_6400_38400	0.014626875	0.0150734375	0.003361875	0.0085003125	0.0	0.0	0.01798875	0.01843531	0.02503141	0.15769744
chr1_12800_44800	0.01425375	0.015975625	0.0032790625	0.0086178125	0.0	0.0	0.01753281	0.01925469	0.02537203	0.15944603
chr1_19200_51200	0.0141025	0.0154709375	0.003154375	0.008765625	0.0	0.0	0.01725688	0.01862531	0.02512953	0.16689879
chr1_25600_57600	0.0137103125	0.0156225	0.0029584375	0.00871	0.0	0.0	0.01666875	0.01858094	0.02485562	0.17021412
chr1_32000_64000	0.01314375	0.01578875	0.002741875	0.0086453125	0.0	0.0	0.01588563	0.01853063	0.0244825	0.17448453
chr1_38400_70400	0.013291875	0.016629375	0.002683125	0.00924375	0.0	0.0	0.015975	0.0193125	0.02554594	0.18296473
chr1_44800_76800	0.013246875	0.0155934375	0.0024834375	0.0097003125	0.0	0.0	0.01573031	0.01807687	0.02536219	0.2001288
chr1_51200_83200	0.01394125	0.0160028125	0.002643125	0.010058125	0.0	0.0	0.01658438	0.01864594	0.02635172	0.19870775
chr1_57600_89600	0.01492375	0.015494375	0.00271625	0.0104165625	0.0	0.0	0.01764	0.01821063	0.02698375	0.20170616
chr1_64000_96000	0.01545875	0.0149403125	0.0029584375	0.0104275	0.0	0.0	0.01841719	0.01789875	0.02710625	0.19768992
chr1_70400_102400	0.01544125	0.01456625	0.002988125	0.010375625	0.0	0.0	0.01842938	0.01755438	0.02687344	0.19796047
chr1_76800_108800	0.01607375	0.014711875	0.003009375	0.010409375	0.0	0.0	0.01908312	0.01772125	0.02730688	0.19481245
chr1_83200_115200	0.0151196875	0.014383125	0.0027825	0.0100178125	0.0	0.0	0.01790219	0.01716563	0.02616047	0.19742951
chr1_89600_121600	0.014561875	0.0145365625	0.002855	0.009730625	0.0	0.0	0.01741687	0.01739156	0.02570734	0.19259628
chr1_96000_128000	0.0143034375	0.014989375	0.002763125	0.00973625	0.0	0.0	0.01706656	0.0177525	0.02576422	0.19351319
chr1_102400_134400	0.014243125	0.014925	0.0028421875	0.00985125	0.0	0.0	0.01708531	0.01776719	0.02585641	0.19476991
chr1_108800_140800	0.0141371875	0.0147475	0.0029615625	0.0094009375	0.0	0.0	0.01709875	0.01770906	0.02532406	0.18536233
chr1_115200_147200	0.0147134375	0.0148475	0.0031503125	0.009565	0.0	0.0	0.01786375	0.01799781	0.02592063	0.18220281
chr1_121600_153600	0.0143546875	0.0148025	0.0031328125	0.00963625	0.0	0.0	0.0174875	0.01793531	0.02578125	0.18554501
chr1_128000_160000	0.0144025	0.014670625	0.0030215625	0.00988625	0.0	0.0	0.01742406	0.01769219	0.02593359	0.1925761
chr1_134400_166400	0.01507	0.01454375	0.0030228125	0.0099246875	0.0	0.0	0.01809281	0.01756656	0.02624297	0.19089581
chr1_140800_172800	0.015358125	0.0145121875	0.00318	0.009966875	0.0	0.0	0.01853812	0.01769219	0.02649203	0.18779206
chr1_147200_179200	0.0150346875	0.0142640625	0.0030021875	0.01038875	0.0	0.0	0.01803688	0.01726625	0.02653922	0.2011201
chr1_153600_185600	0.0152415625	0.01474625	0.003165625	0.0101671875	0.0	0.0	0.01840719	0.01791188	0.02674391	0.19117408
chr1_160000_192000	0.0150725	0.0148803125	0.003195625	0.010255625	0.0	0.0	0.01826812	0.01807594	0.02682984	0.19238778
chr1_166400_198400	0.0144265625	0.0155775	0.0033225	0.00961625	0.0	0.0	0.01774906	0.0189	0.02627953	0.17834699
chr1_172800_204800	0.013975	0.015970625	0.00328125	0.009460625	0.0	0.0	0.01725625	0.01925187	0.02607406	0.17641172
chr1_179200_211200	0.0139190625	0.0158628125	0.0033371875	0.008889375	0.0	0.0	0.01725625	0.0192	0.02544891	0.16532223
chr1_185600_217600	0.0138959375	0.0155525	0.0031153125	0.008940625	0.0	0.0	0.01701125	0.01866781	0.0252225	0.17144965
chr1_192000_224000	0.01414875	0.015955	0.0030834375	0.0090515625	0.0	0.0	0.01723219	0.01903844	0.02564516	0.17153411
chr1_198400_230400	0.0145221875	0.0154528125	0.003045625	0.009329375	0.0	0.0	0.01756781	0.01849844	0.02583969	0.17793627
chr1_204800_236800	0.0149084375	0.01548875	0.0031603125	0.0093415625	0.0	0.0	0.01806875	0.01864906	0.02612031	0.1744951
chr1_211200_243200	0.0146965625	0.0156640625	0.0031753125	0.00895	0.0	0.0	0.01787187	0.01883937	0.02571797	0.16704675
chr1_217600_249600	0.0149525	0.0155403125	0.0031146875	0.0094359375	0.0	0.0	0.01806719	0.018655	0.02623969	0.176647
chr1_224000_256000	0.0152534375	0.0153209375	0.0031978125	0.0092871875	0.0	0.0	0.01845125	0.01851875	0.02617328	0.172158
chr1_230400_262400	0.0150815625	0.01556625	0.0031065625	0.0096278125	0.0	0.0	0.01818812	0.01867281	0.026505	0.17969181
chr1_236800_268800	0.0151078125	0.01541125	0.0029659375	0.0102296875	0.0	0.0	0.01807375	0.01837719	0.02697219	0.19352152
chr1_243200_275200	0.0151825	0.0156325	0.00297625	0.0103215625	0.0	0.0	0.01815875	0.01860875	0.02721719	0.1937118
chr1_249600_281600	0.0149140625	0.0153571875	0.0029784375	0.0100659375	0.0	0.0	0.0178925	0.01833563	0.02669078	0.19142383
chr1_256000_288000	0.01457875	0.0155425	0.00316625	0.0095775	0.0	0.0	0.017745	0.01870875	0.02622125	0.17985854
chr1_262400_294400	0.014739375	0.01590375	0.0032634375	0.009424375	0.0	0.0	0.01800281	0.01916719	0.02637766	0.17331403
chr1_268800_300800	0.0142021875	0.0156478125	0.0033725	0.0086615625	0.0	0.0	0.01757469	0.01902031	0.02527281	0.16009319
chr1_275200_307200	0.014711875	0.016525625	0.003501875	0.00910125	0.0	0.0	0.01821375	0.0200275	0.02647094	0.16122094
chr1_281600_313600	0.0145171875	0.0165375	0.0033684375	0.009335625	0.0	0.0	0.01788563	0.01990594	0.02654719	0.16837377
chr1_288000_320000	0.0147809375	0.0165509375	0.0034196875	0.009358125	0.0	0.0	0.01820063	0.01997063	0.02673391	0.1669218
chr1_294400_326400	0.01466375	0.0163321875	0.0034890625	0.0095003125	0.0	0.0	0.01815281	0.01982125	0.02674281	0.16959998
chr1_300800_332800	0.0152078125	0.0163734375	0.0033771875	0.0102665625	0.0	0.0	0.018585	0.01975063	0.02774578	0.18284604
chr1_307200_339200	0.01512375	0.0149609375	0.0031803125	0.010486875	0.0	0.0	0.01830406	0.01814125	0.02711937	0.19621345
chr1_313600_345600	0.01547	0.0151171875	0.003460625	0.01029375	0.0	0.0	0.01893062	0.01857781	0.02731766	0.18587142
chr1_320000_352000	0.015113125	0.015091875	0.0033490625	0.010285	0.0	0.0	0.01846219	0.01844094	0.02706203	0.18918446
chr1_326400_358400	0.0149503125	0.0148528125	0.0032784375	0.0097271875	0.0	0.0	0.01822875	0.01813125	0.02626797	0.18196489
chr1_332800_364800	0.0148975	0.014924375	0.003323125	0.0092759375	0.0	0.0	0.01822063	0.0182475	0.02584844	0.17273009
chr1_339200_371200	0.01477875	0.01562875	0.003428125	0.009256875	0.0	0.0	0.01820688	0.01905688	0.02617469	0.16834161
chr1_345600_377600	0.01485375	0.0157521875	0.003375	0.0090965625	0.0	0.0	0.01822875	0.01912719	0.02608703	0.16551011
chr1_352000_384000	0.0154075	0.01527625	0.0030975	0.00937625	0.0	0.0	0.018505	0.01837375	0.02626687	0.17508728
chr1_358400_390400	0.01557875	0.0151203125	0.0029396875	0.0098453125	0.0	0.0	0.01851844	0.01806	0.02666469	0.18631238
chr1_364800_396800	0.0152184375	0.0154934375	0.0027775	0.0097165625	0.0	0.0	0.01799594	0.01827094	0.02646125	0.18674443
chr1_371200_403200	0.0150996875	0.0153203125	0.0028234375	0.0094409375	0.0	0.0	0.01792313	0.01814375	0.02606266	0.18208458
chr1_377600_409600	0.0146925	0.0148671875	0.0027090625	0.009389375	0.0	0.0	0.01740156	0.01757625	0.02552375	0.18680188
chr1_384000_416000	0.0144959375	0.01594125	0.003134375	0.0093653125	0.0	0.0	0.01763031	0.01907562	0.02615109	0.1752228
chr1_390400_422400	0.0138746875	0.015935	0.0030034375	0.0098596875	0.0	0.0	0.01687813	0.01893844	0.02626625	0.18920324
chr1_396800_428800	0.0140384375	0.015340625	0.0031715625	0.0100571875	0.0	0.0	0.01721	0.01851219	0.0263325	0.19168852
chr1_403200_435200	0.0144896875	0.015624375	0.00313875	0.0102540625	0.0	0.0	0.01762844	0.01876312	0.02688047	0.19266665
chr1_409600_441600	0.0149046875	0.0160334375	0.003238125	0.0103534375	0.0	0.0	0.01814281	0.01927156	0.02744156	0.18926571
chr1_416000_448000	0.0151053125	0.0149678125	0.0028715625	0.011208125	0.0	0.0	0.01797687	0.01783938	0.02768047	0.21435942
chr1_422400_454400	0.01558375	0.015245625	0.00299125	0.0106728125	0.0	0.0	0.018575	0.01823687	0.02758313	0.19955168
chr1_428800_460800	0.01555625	0.015185	0.002885625	0.0106578125	0.0	0.0	0.01844187	0.01807062	0.02747125	0.20152
chr1_435200_467200	0.0155646875	0.014358125	0.002660625	0.010678125	0.0	0.0	0.01822531	0.01701875	0.02696984	0.20963037
chr1_441600_473600	0.0156315625	0.01405875	0.002394375	0.0114828125	0.0	0.0	0.01802594	0.01645312	0.02752516	0.22977105
chr1_448000_480000	0.015085625	0.014033125	0.0023021875	0.010983125	0.0	0.0	0.01738781	0.01633531	0.02669359	0.22573748
chr1_454400_486400	0.015095	0.014740625	0.0023784375	0.0109921875	0.0	0.0	0.01747344	0.01711906	0.02709922	0.22081014
chr1_460800_492800	0.015139375	0.0153109375	0.002585625	0.010790625	0.0	0.0	0.017725	0.01789656	0.02730859	0.21050405
chr1_467200_499200	0.0151225	0.01542375	0.002661875	0.0110028125	0.0	0.0	0.01778438	0.01808563	0.02760687	0.21237301
chr1_473600_505600	0.0149403125	0.0154553125	0.002749375	0.0109084375	0.0	0.0	0.01768969	0.01820469	0.02748094	0.20986446
chr1_480000_512000	0.015475625	0.015385625	0.002806875	0.01087375	0.0	0.0	0.0182825	0.0181925	0.02770781	0.20612136
chr1_486400_518400	0.015365	0.0149625	0.002765625	0.01078125	0.0	0.0	0.01813063	0.01772813	0.02732781	0.20766711
chr1_492800_524800	0.015359375	0.014739375	0.002783125	0.0110421875	0.0	0.0	0.0181425	0.0175225	0.02748312	0.21296454
chr1_499200_531200	0.014615	0.0146678125	0.002959375	0.0099178125	0.0	0.0	0.01757437	0.01762719	0.02603891	0.19335907
chr1_505600_537600	0.0141046875	0.0152546875	0.003181875	0.0090165625	0.0	0.0	0.01728656	0.01843656	0.02528719	0.17209375
chr1_512000_544000	0.014079375	0.0156909375	0.003438125	0.0086534375	0.0	0.0	0.0175175	0.01912906	0.02525766	0.15911497
chr1_518400_550400	0.0142225	0.0151953125	0.003348125	0.0090721875	0.0	0.0	0.01757062	0.01854344	0.02545516	0.17002431
chr1_524800_556800	0.0139671875	0.0152975	0.0032225	0.0090265625	0.0	0.0	0.01718969	0.01852	0.02527016	0.17194931
chr1_531200_563200	0.013933125	0.0152178125	0.0028615625	0.00972125	0.0	0.0	0.01679469	0.01807938	0.0257275	0.19206659
chr1_537600_569600	0.0142246875	0.014775625	0.002819375	0.010185625	0.0	0.0	0.01704406	0.017595	0.02609547	0.20214073
chr1_544000_576000	0.0136709375	0.0144790625	0.00262375	0.01043375	0.0	0.0	0.01629469	0.01710281	0.02582062	0.21453446
chr1_550400_582400	0.013815	0.01413625	0.0027628125	0.0096021875	0.0	0.0	0.01657781	0.01689906	0.02495922	0.19715221
