Species,Chromosome,Start,End,cMFraction,cM,length,rbp
Melpomene,18,0,0,0.0,0.0,0,
Melpomene,18,1,1352504,0.0,0.0,1352503,0.0
Melpomene,18,1352504,1387623,0.401,0.401,35119,1.141832056721433e-07
Melpomene,18,1387623,1392535,0.013999999999999999,0.415,4912,8.448697068403909e-07
Melpomene,18,1392535,1441529,0.441,0.857,48994,1.7491937788300606e-07
Melpomene,18,1441529,1454800,0.039,0.8959999999999999,13271,6.751563559641323e-07
Melpomene,18,1454800,1663643,0.0,0.8959999999999999,208843,4.290304199805595e-08
Melpomene,18,1663643,1701020,0.299,1.194,37377,3.1944778874709046e-07
Melpomene,18,1701020,2107174,0.0,1.194,406154,2.9397716137228733e-08
Melpomene,18,2107174,2116894,0.299,1.493,9720,1.536008230452675e-06
Melpomene,18,2116894,2121556,0.0,1.493,4662,3.2024882024882027e-06
Melpomene,18,2121556,2140002,0.299,1.791,18446,9.709422096931584e-07
Melpomene,18,2140002,2195295,0.0,1.791,55293,3.2391080245238996e-07
Melpomene,18,2195295,2301824,0.207,1.9980000000000002,106529,1.8755456260736515e-07
Melpomene,18,2301824,2348893,0.159,2.157,47069,4.5826340053963334e-07
Melpomene,18,2348893,2511167,0.231,2.388,162274,1.4715850968115655e-07
Melpomene,18,2511167,2649999,0.0,2.388,138832,1.720064538434943e-07
Melpomene,18,2649999,2705208,0.201,2.589,55209,4.6894528066076183e-07
Melpomene,18,2705208,2731883,0.552,3.142,26675,1.1778819119025302e-06
Melpomene,18,2731883,2792694,1.037,4.178999999999999,60811,6.872111953429477e-07
Melpomene,18,2792694,2792878,0.0,4.178999999999999,184,0.00022711956521739127
Melpomene,18,2792878,2942455,0.597,4.776,149577,3.193004272047173e-07
Melpomene,18,2942455,3078906,0.0,4.776,136451,3.500157565719562e-07
Melpomene,18,3078906,3095782,0.151,4.927,16876,2.919530694477364e-06
Melpomene,18,3095782,3112290,0.18100000000000002,5.1080000000000005,16508,3.0942573297795014e-06
Melpomene,18,3112290,3242370,0.265,5.372999999999999,130080,4.1305350553505527e-07
Melpomene,18,3242370,3356069,0.0,5.372999999999999,113699,4.7256352298613e-07
Melpomene,18,3356069,3356553,0.009000000000000001,5.382000000000001,484,0.00011119834710743804
Melpomene,18,3356553,3371623,0.579,5.961,15070,3.955540809555409e-06
